County,Region,geoid,Typical Afternoon Temperature in deg F,Tree Canopy %,Total Population,Population Age < 5,Population Age > 65
Baltimore city,Baltimore,24510130700,94.9564576384539,10.1100963977676,4734,293,1256
Baltimore city,Baltimore,24510130803,94.6289299110361,11.5743190661479,2443,120,277
Baltimore city,Baltimore,24510130804,95.1780283320679,8.79330422125182,1993,44,160
Baltimore city,Baltimore,24510130805,91.7212270505135,47.4471012119226,1017,46,377
Baltimore city,Baltimore,24510130806,93.5188404061298,27.5444104134763,1423,34,298
Baltimore city,Baltimore,24510140100,96.0310103643509,2.15794481446242,4455,120,1113
Baltimore city,Baltimore,24510140200,95.8568391799926,1.86512261580381,2906,395,213
Baltimore city,Baltimore,24510140300,95.9950816891011,0.105117565698479,1932,133,269
Baltimore city,Baltimore,24510150100,95.4854269470727,0.433382137628111,2172,134,409
Baltimore city,Baltimore,24510150200,95.6608142108718,0.470437017994859,2330,151,325
Baltimore city,Baltimore,24510150300,95.0979404871404,3.47169811320755,2079,137,289
Baltimore city,Baltimore,24510150400,95.8822306443527,0.746042216358839,3824,92,519
Baltimore city,Baltimore,24510150500,95.1557436577679,4.87331838565023,1477,45,309
Baltimore city,Baltimore,24510150600,94.1573366632691,14.335201793722,2726,158,276
Baltimore city,Baltimore,24510150701,94.4916562710852,13.3451327433628,1599,65,307
Baltimore city,Baltimore,24510150702,93.9154143459472,8.98632010943913,2139,100,410
Baltimore city,Baltimore,24510150800,93.4156633783764,9.93125618199803,4719,271,924
Baltimore city,Baltimore,24510150900,91.4636443417903,40.4577151335312,3371,203,552
Baltimore city,Baltimore,24510151000,94.212226688342,6.42514534883721,4794,241,761
Baltimore city,Baltimore,24510151100,94.4356874539726,8.20982567353405,7440,520,1602
Baltimore city,Baltimore,24510151200,94.2194650875643,12.4131034482758,4113,166,912
Baltimore city,Baltimore,24510151300,95.0873767140535,2.8915313225058,4379,131,584
Baltimore city,Baltimore,24510160100,94.9772604612153,3.20253164556962,1936,15,288
Baltimore city,Baltimore,24510160200,95.3728602691779,2.06340057636888,2479,318,250
Baltimore city,Baltimore,24510160300,95.2945775930456,1.56813417190776,968,42,276
Baltimore city,Baltimore,24510160400,95.6522264493891,0.676075268817204,1937,113,255
Baltimore city,Baltimore,24510160500,95.1700079222456,6.20447450572321,3934,140,455
Baltimore city,Baltimore,24510160600,95.1336218746854,6.78427612655801,3266,228,364
Baltimore city,Baltimore,24510160700,93.9264097329749,14.8998330550918,4543,286,470
Baltimore city,Baltimore,24510160801,94.6660750435962,1.76891334250344,3052,118,633
Baltimore city,Baltimore,24510160802,91.1877299816043,52.6489455184535,3368,256,511
